At. Num,Ion Charge,Ground Shells,Ground Level,Ionization Energy (eV),Uncertainty (eV)
42,+8,[Ar].3d10.4s2.4p4,3P<2>,164.12,0.09
42,+9,[Ar].3d10.4s2.4p3,4S*<3/2>,[186.3],1.2
42,+10,[Ar].3d10.4s2.4p2,3P0,(209.3),1.2
42,+11,[Ar].3d10.4s2.4p,2P*<1/2>,[230.28],0.06
42,+12,[Ar].3d10.4s2,1S0,[279.1],0.5
42,+13,[Ar].3d10.4s,2S<1/2>,302.60,0.04
42,+14,[Ar].3d10,1S0,[544.0],0.5
42,+15,[Ar].3d9,2D<5/2>,(591),3
42,+16,[Ar].3d8,3F<4>,(646),3
42,+17,[Ar].3d7,4F<9/2>,(702),3
42,+18,[Ar].3d6,5D<4>,(758),3
42,+19,[Ar].3d5,6S<5/2>,(829),4
42,+20,[Ar].3d4,5D0,(890),4
42,+21,[Ar].3d3,4F<3/2>,(953),4
42,+22,[Ar].3d2,3F<2>,(1019),4
42,+23,[Ar].3d,2D<3/2>,(1082),4
42,+24,[Ne].3s2.3p6,1S0,[1263],4
42,+25,[Ne].3s2.3p5,2P*<3/2>,[1319.6],1.4
42,+26,[Ne].3s2.3p4,3P<2>,[1385.1],1.9
42,+27,[Ne].3s2.3p3,4S*<3/2>,[1462],6
42,+28,[Ne].3s2.3p2,3P0,[1537],3
42,+29,[Ne].3s2.3p,2P*<1/2>,[1587],8
42,+30,[Ne].3s2,1S0,[1730.1],2.5
42,+31,[Ne].3s,2S<1/2>,[1790.93],0.06
42,+32,1s2.2s2.2p6,1S0,[4259.0],2.4
42,+33,1s2.2s2.2p5,2P*<3/2>,[4430],7
42,+34,1s2.2s2.2p4,3P<2>,[4618],10
42,+35,1s2.2s2.2p3,"(0,3/2)*<3/2>",[4800],30
42,+36,1s2.2s2.2p2,3P0,[5084],6
42,+37,1s2.2s2.2p,2P*<1/2>,[5287],4
42,+38,1s2.2s2,1S0,[5548],5
42,+39,1s2.2s,2S<1/2>,(5713.194),0.016
42,+40,1s2,1S0,(23810.653),0.009
42,+41,1s,2S<1/2>,(24572.213),0.004
43,0,[Kr].4d5.5s2,6S<5/2>,7.11938,0.00003
43,+1,[Kr].4d5.5s,7S<3>,[15.26],
43,+2,[Kr].4d5,6S<5/2>,[29.55],
43,+3,[Kr].4d4,5D0,(41.0),1.7
43,+4,[Kr].4d3,4F<3/2>,(57.0),1.9
43,+5,[Kr].4d2,3F<2>,(72.0),2.0
43,+6,[Kr].4d,2D<3/2>,(88.0),2.0
43,+7,[Ar].3d10.4s2.4p6,1S0,(150.0),2.1
43,+8,[Ar].3d10.4s2.4p5,2P*<3/2>,(169.0),2.2
43,+9,[Ar].3d10.4s2.4p4,3P<2>,(189.9),2.2
43,+10,[Ar].3d10.4s2.4p3,4S*<3/2>,(214.0),2.4
43,+11,[Ar].3d10.4s2.4p2,3P0,(239.0),2.5
43,+12,[Ar].3d10.4s2.4p,2P*<1/2>,[262.08],0.12
43,+13,[Ar].3d10.4s2,1S0,(311),3
43,+14,[Ar].3d10.4s,2S<1/2>,[338.55],0.17
43,+15,[Ar].3d10,1S0,(604),3
43,+16,[Ar].3d9,2D<5/2>,(655),3
43,+17,[Ar].3d8,3F<4>,(713),3
43,+18,[Ar].3d7,4F<9/2>,(773),3
43,+19,[Ar].3d6,5D<4>,(829),4
43,+20,[Ar].3d5,6S<5/2>,(904),4
43,+21,[Ar].3d4,5D0,(968),4
43,+22,[Ar].3d3,4F<3/2>,(1032),4
43,+23,[Ar].3d2,3F<2>,(1102),4
43,+24,[Ar].3d,2D<3/2>,(1166),4
43,+25,[Ne].3s2.3p6,1S0,[1354],4
43,+26,[Ne].3s2.3p5,2P*<3/2>,[1411.6],1.5
43,+27,[Ne].3s2.3p4,3P<2>,[1479.5],2.0
43,+28,[Ne].3s2.3p3,4S*<3/2>,[1559],6
43,+29,[Ne].3s2.3p2,3P0,[1638],4
43,+30,[Ne].3s2.3p,2P*<1/2>,[1689],8
43,+31,[Ne].3s2,1S0,[1838],3
43,+32,[Ne].3s,2S<1/2>,[1900.28],0.06
43,+33,1s2.2s2.2p6,1S0,[4505.0],2.5
43,+34,1s2.2s2.2p5,2P*<3/2>,[4681],8
43,+35,1s2.2s2.2p4,3P<2>,[4874],10
43,+36,1s2.2s2.2p3,"(0,3/2)*<3/2>",[5060],40
43,+37,1s2.2s2.2p2,3P0,[5361],6
43,+38,1s2.2s2.2p,2P*<1/2>,[5570],4
43,+39,1s2.2s2,1S0,[5838],6
43,+40,1s2.2s,2S<1/2>,(6008.391),0.017
43,+41,1s2,1S0,(25004.531),0.010
43,+42,1s,2S<1/2>,(25787.047),0.016
44,0,[Kr].4d7.5s,5F<5>,7.36050,0.00005
44,+1,[Kr].4d7,4F<9/2>,[16.76],0.06
44,+2,[Kr].4d6,5D<4>,[28.47],
44,+3,[Kr].4d5,6S<5/2>,(45.0),1.7
44,+4,[Kr].4d4,5D0,(59.0),1.9
44,+5,[Kr].4d3,4F<3/2>,(76.0),2.0
44,+6,[Kr].4d2,3F<2>,(93.0),2.0
44,+7,[Kr].4d,2D<3/2>,(110.0),2.1
44,+8,[Ar].3d10.4s2.4p6,1S0,[178.41],0.05
44,+9,[Ar].3d10.4s2.4p5,2P*<3/2>,(198.0),2.2
44,+10,[Ar].3d10.4s2.4p4,3P<2>,(219.9),2.4
44,+11,[Ar].3d10.4s2.4p3,4S*<3/2>,(245.0),2.5
44,+12,[Ar].3d10.4s2.4p2,3P0,(271),3
44,+13,[Ar].3d10.4s2.4p,2P*<1/2>,[295.90],0.09
44,+14,[Ar].3d10.4s2,1S0,(348),3
44,+15,[Ar].3d10.4s,2S<1/2>,376.25,0.10
44,+16,[Ar].3d10,1S0,(670),3
44,+17,[Ar].3d9,2D<5/2>,(723),3
44,+18,[Ar].3d8,3F<4>,(784),3
44,+19,[Ar].3d7,4F<9/2>,(845),4
44,+20,[Ar].3d6,5D<4>,(905),4
44,+21,[Ar].3d5,6S<5/2>,(981),4
44,+22,[Ar].3d4,5D0,(1048),4
44,+23,[Ar].3d3,4F<3/2>,(1115),4
44,+24,[Ar].3d2,3F<2>,(1187),4
44,+25,[Ar].3d,2D<3/2>,(1253),4
44,+26,[Ne].3s2.3p6,1S0,[1447],4
44,+27,[Ne].3s2.3p5,2P*<3/2>,[1506.7],1.6
44,+28,[Ne].3s2.3p4,3P<2>,[1577.0],2.1
44,+29,[Ne].3s2.3p3,4S*<3/2>,[1659],6
44,+30,[Ne].3s2.3p2,3P0,[1743],4
44,+31,[Ne].3s2.3p,2P*<1/2>,[1794],8
44,+32,[Ne].3s2,1S0,[1949],3
44,+33,[Ne].3s,2S<1/2>,[2013.04],0.06
44,+34,1s2.2s2.2p6,1S0,[4758],3
44,+35,1s2.2s2.2p5,2P*<3/2>,[4939],8
44,+36,1s2.2s2.2p4,3P<2>,[5136],11
44,+37,1s2.2s2.2p3,"(0,3/2)*<3/2>",[5330],40
44,+38,1s2.2s2.2p2,3P0,[5647],6
44,+39,1s2.2s2.2p,2P*<1/2>,[5861],4
44,+40,1s2.2s2,1S0,[6137],6
44,+41,1s2.2s,2S<1/2>,(6311.721),0.019
44,+42,1s2,1S0,(26229.888),0.011
44,+43,1s,2S<1/2>,(27033.564),0.005
45,0,[Kr].4d8.5s,4F<9/2>,7.45890,0.00005
45,+1,[Kr].4d8,3F<4>,[18.08],
45,+2,[Kr].4d7,4F<9/2>,[31.06],
